Proposal_ID,Title,Summary,Domain,Methodology,Funding_Agency
P012,AI-Based Malware Analysis using Transformer Models,"This project proposes the use of Transformer Models techniques for malware analysis in the cybersecurity domain. The study aims to strengthen security using medical records. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Cybersecurity,Transformer Models,Government Research Board
P205,Fault Detection using Blockchain,"This proposal develops a Blockchain framework for fault detection within the manufacturing domain. The research focuses on improving performance through advanced learning algorithms, optimization strategies, and intelligent decision support systems.",Manufacturing,Blockchain,Government Research Board
P168,Novel Renewable Energy Forecasting using Natural Language Processing,"This project proposes the use of Natural Language Processing techniques for renewable energy forecasting in the energy domain. The study aims to enhance decision making using clinical reports. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Energy,Natural Language Processing,Innovation Fund
P007,Efficient Malware Analysis using Predictive Analytics,"This project proposes the use of Predictive Analytics techniques for malware analysis in the cybersecurity domain. The study aims to support early detection using sensor data. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Cybersecurity,Predictive Analytics,Industrial Research Council
P028,AI-Based Smart Irrigation using Big Data Analytics,"This project proposes the use of Big Data Analytics techniques for smart irrigation in the agriculture domain. The study aims to provide intelligent recommendations using medical records. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Agriculture,Big Data Analytics,Department of Biotechnology
P172,AI-Based Fleet Management using Deep Learning,"This project proposes the use of Deep Learning techniques for fleet management in the transportation domain. The study aims to automate monitoring using text documents. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Transportation,Deep Learning,Department of Biotechnology
P202,Student Performance Prediction using Machine Learning,"This proposal develops a Machine Learning framework for student performance prediction within the education domain. The research focuses on improving performance through advanced learning algorithms, optimization strategies, and intelligent decision support systems.",Education,Machine Learning,Innovation Fund
P145,Efficient Predictive Maintenance using Federated Learning,"This project proposes the use of Federated Learning techniques for predictive maintenance in the manufacturing domain. The study aims to improve prediction accuracy using historical databases. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Manufacturing,Federated Learning,Industrial Research Council
P005,Smart Fraud Detection using Explainable AI,"This project proposes the use of Explainable AI techniques for fraud detection in the finance domain. The study aims to increase sustainability using IoT streams. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Finance,Explainable AI,AI Research Council
P033,Intelligent Flood Forecasting using Internet of Things,"This project proposes the use of Internet of Things techniques for flood forecasting in the climate science domain. The study aims to enhance decision making using sensor data. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Climate Science,Internet of Things,Department of Biotechnology
P114,Robust Demand Forecasting using Federated Learning,"This project proposes the use of Federated Learning techniques for demand forecasting in the retail domain. The study aims to reduce operational costs using clinical reports. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Retail,Federated Learning,Industrial Research Council
P153,Hybrid Traffic Prediction using Predictive Analytics,"This project proposes the use of Predictive Analytics techniques for traffic prediction in the transportation domain. The study aims to optimize workflows using historical databases. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Transportation,Predictive Analytics,National Science Foundation
P121,Novel Autonomous Vehicles using Explainable AI,"This project proposes the use of Explainable AI techniques for autonomous vehicles in the transportation domain. The study aims to optimize workflows using social media posts. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Transportation,Explainable AI,International Research Foundation
P195,Waste Management using Deep Learning,"This proposal develops a Deep Learning framework for waste management within the smart cities domain. The research focuses on improving performance through advanced learning algorithms, optimization strategies, and intelligent decision support systems.",Smart Cities,Deep Learning,Innovation Fund
P115,Novel Customer Analytics using Internet of Things,"This project proposes the use of Internet of Things techniques for customer analytics in the finance domain. The study aims to optimize workflows using historical databases. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Finance,Internet of Things,International Research Foundation
P011,Novel Soil Monitoring using Reinforcement Learning,"This project proposes the use of Reinforcement Learning techniques for soil monitoring in the agriculture domain. The study aims to improve resource utilization using medical records. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Agriculture,Reinforcement Learning,AI Research Council
P063,Automated Robot Navigation using Graph Neural Networks,"This project proposes the use of Graph Neural Networks techniques for robot navigation in the robotics domain. The study aims to improve resource utilization using sensor data. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Robotics,Graph Neural Networks,AI Research Council
P149,Novel Attendance Analysis using Internet of Things,"This project proposes the use of Internet of Things techniques for attendance analysis in the education domain. The study aims to enhance decision making using social media posts. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Education,Internet of Things,AI Research Council
P154,Efficient Climate Modeling using Blockchain,"This project proposes the use of Blockchain techniques for climate modeling in the climate science domain. The study aims to optimize workflows using social media posts. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Climate Science,Blockchain,International Research Foundation
P177,Advanced Market Basket Analysis using Reinforcement Learning,"This project proposes the use of Reinforcement Learning techniques for market basket analysis in the retail domain. The study aims to optimize workflows using industrial logs. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Retail,Reinforcement Learning,Department of Biotechnology
P001,Automated Waste Management using Machine Learning,"This project proposes the use of Machine Learning techniques for waste management in the smart cities domain. The study aims to automate monitoring using financial transactions. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Smart Cities,Machine Learning,Department of Biotechnology
P190,Robust Personalized Learning using Explainable AI,"This project proposes the use of Explainable AI techniques for personalized learning in the education domain. The study aims to provide intelligent recommendations using IoT streams. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Education,Explainable AI,National Science Foundation
P185,AI-Based Risk Assessment using Edge Computing,"This project proposes the use of Edge Computing techniques for risk assessment in the finance domain. The study aims to improve prediction accuracy using text documents. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Finance,Edge Computing,International Research Foundation
P071,Intelligent Inventory Prediction using Blockchain,"This project proposes the use of Blockchain techniques for inventory prediction in the retail domain. The study aims to enhance decision making using text documents. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Retail,Blockchain,Department of Biotechnology
P164,Hybrid Network Security using Natural Language Processing,"This project proposes the use of Natural Language Processing techniques for network security in the cybersecurity domain. The study aims to increase sustainability using social media posts. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Cybersecurity,Natural Language Processing,AI Research Council
P065,Advanced Autonomous Drones using Internet of Things,"This project proposes the use of Internet of Things techniques for autonomous drones in the robotics domain. The study aims to reduce operational costs using medical records. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Robotics,Internet of Things,Innovation Fund
P045,Advanced Water Quality using Federated Learning,"This project proposes the use of Federated Learning techniques for water quality in the environmental science domain. The study aims to support early detection using financial transactions. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Environmental Science,Federated Learning,National Science Foundation
P138,Smart Yield Prediction using Graph Neural Networks,"This project proposes the use of Graph Neural Networks techniques for yield prediction in the agriculture domain. The study aims to provide intelligent recommendations using satellite images. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Agriculture,Graph Neural Networks,Department of Biotechnology
P041,AI-Based Livestock Health using Federated Learning,"This project proposes the use of Federated Learning techniques for livestock health in the agriculture domain. The study aims to improve prediction accuracy using clinical reports. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Agriculture,Federated Learning,International Research Foundation
P124,Scalable Human Robot Collaboration using Big Data Analytics,"This project proposes the use of Big Data Analytics techniques for human robot collaboration in the robotics domain. The study aims to improve resource utilization using social media posts. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Robotics,Big Data Analytics,AI Research Council
P024,AI-Based Trend Analysis using Graph Neural Networks,"This project proposes the use of Graph Neural Networks techniques for trend analysis in the social media domain. The study aims to support early detection using clinical reports. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Social Media,Graph Neural Networks,Government Research Board
P159,Automated Disaster Management using Computer Vision,"This project proposes the use of Computer Vision techniques for disaster management in the environmental science domain. The study aims to increase sustainability using social media posts. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Environmental Science,Computer Vision,Innovation Fund
P155,Hybrid Medical Imaging using Transformer Models,"This project proposes the use of Transformer Models techniques for medical imaging in the healthcare domain. The study aims to reduce operational costs using text documents. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Healthcare,Transformer Models,Innovation Fund
P082,Efficient Livestock Health using Computer Vision,"This project proposes the use of Computer Vision techniques for livestock health in the agriculture domain. The study aims to improve resource utilization using satellite images. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Agriculture,Computer Vision,International Research Foundation
P040,Automated Personalized Learning using Reinforcement Learning,"This project proposes the use of Reinforcement Learning techniques for personalized learning in the education domain. The study aims to optimize workflows using financial transactions. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Education,Reinforcement Learning,International Research Foundation
P178,Novel Climate Modeling using Federated Learning,"This project proposes the use of Federated Learning techniques for climate modeling in the climate science domain. The study aims to support early detection using sensor data. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Climate Science,Federated Learning,International Research Foundation
P048,AI-Based Yield Prediction using Predictive Analytics,"This project proposes the use of Predictive Analytics techniques for yield prediction in the agriculture domain. The study aims to strengthen security using satellite images. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Agriculture,Predictive Analytics,Industrial Research Council
P095,Intelligent Accident Detection using Federated Learning,"This project proposes the use of Federated Learning techniques for accident detection in the transportation domain. The study aims to automate monitoring using historical databases. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Transportation,Federated Learning,Innovation Fund
P162,Intelligent Community Detection using Blockchain,"This project proposes the use of Blockchain techniques for community detection in the social media domain. The study aims to support early detection using text documents. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Social Media,Blockchain,International Research Foundation
P044,Automated Warehouse Automation using Computer Vision,"This project proposes the use of Computer Vision techniques for warehouse automation in the robotics domain. The study aims to increase sustainability using clinical reports. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Robotics,Computer Vision,Industrial Research Council
P146,Intelligent Malware Analysis using Internet of Things,"This project proposes the use of Internet of Things techniques for malware analysis in the cybersecurity domain. The study aims to enhance decision making using financial transactions. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Cybersecurity,Internet of Things,Industrial Research Council
P004,Robust Fleet Management using Transformer Models,"This project proposes the use of Transformer Models techniques for fleet management in the transportation domain. The study aims to automate monitoring using social media posts. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Transportation,Transformer Models,Government Research Board
P106,Advanced Cancer Detection using Internet of Things,"This project proposes the use of Internet of Things techniques for cancer detection in the healthcare domain. The study aims to reduce operational costs using social media posts. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Healthcare,Internet of Things,Industrial Research Council
P054,Scalable Autonomous Vehicles using Computer Vision,"This project proposes the use of Computer Vision techniques for autonomous vehicles in the transportation domain. The study aims to enhance decision making using financial transactions. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Transportation,Computer Vision,AI Research Council
P134,Hybrid Crop Disease Detection using Transformer Models,"This project proposes the use of Transformer Models techniques for crop disease detection in the agriculture domain. The study aims to increase sustainability using industrial logs. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Agriculture,Transformer Models,Government Research Board
P191,Fake News Detection using Graph Neural Networks,"This proposal develops a Graph Neural Networks framework for fake news detection within the social media domain. The research focuses on improving performance through advanced learning algorithms, optimization strategies, and intelligent decision support systems.",Social Media,Graph Neural Networks,Government Research Board
P165,Efficient Demand Forecasting using Transformer Models,"This project proposes the use of Transformer Models techniques for demand forecasting in the retail domain. The study aims to increase sustainability using financial transactions. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Retail,Transformer Models,International Research Foundation
P196,Phishing Detection using Deep Learning,"This proposal develops a Deep Learning framework for phishing detection within the cybersecurity domain. The research focuses on improving performance through advanced learning algorithms, optimization strategies, and intelligent decision support systems.",Cybersecurity,Deep Learning,National Science Foundation
P050,AI-Based Wind Energy Analysis using Deep Learning,"This project proposes the use of Deep Learning techniques for wind energy analysis in the energy domain. The study aims to increase sustainability using industrial logs. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Energy,Deep Learning,Government Research Board
P081,Hybrid Quality Inspection using Edge Computing,"This project proposes the use of Edge Computing techniques for quality inspection in the manufacturing domain. The study aims to optimize workflows using medical records. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Manufacturing,Edge Computing,Industrial Research Council
P035,Hybrid Urban Planning using Federated Learning,"This project proposes the use of Federated Learning techniques for urban planning in the smart cities domain. The study aims to reduce operational costs using industrial logs. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Smart Cities,Federated Learning,Government Research Board
P008,Robust Predictive Maintenance using Blockchain,"This project proposes the use of Blockchain techniques for predictive maintenance in the manufacturing domain. The study aims to enhance decision making using clinical reports. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Manufacturing,Blockchain,AI Research Council
P111,Intelligent Livestock Health using Explainable AI,"This project proposes the use of Explainable AI techniques for livestock health in the agriculture domain. The study aims to improve resource utilization using clinical reports. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Agriculture,Explainable AI,Innovation Fund
P092,Advanced Production Planning using Machine Learning,"This project proposes the use of Machine Learning techniques for production planning in the manufacturing domain. The study aims to support early detection using IoT streams. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Manufacturing,Machine Learning,AI Research Council
P084,Efficient Patient Monitoring using Transformer Models,"This project proposes the use of Transformer Models techniques for patient monitoring in the healthcare domain. The study aims to enhance decision making using social media posts. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Healthcare,Transformer Models,Innovation Fund
P187,Smart Threat Intelligence using Big Data Analytics,"This project proposes the use of Big Data Analytics techniques for threat intelligence in the cybersecurity domain. The study aims to automate monitoring using medical records. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Cybersecurity,Big Data Analytics,International Research Foundation
P192,Industrial Robots using Graph Neural Networks,"This proposal develops a Graph Neural Networks framework for industrial robots within the robotics domain. The research focuses on improving performance through advanced learning algorithms, optimization strategies, and intelligent decision support systems.",Robotics,Graph Neural Networks,National Science Foundation
P090,Novel Autonomous Vehicles using Federated Learning,"This project proposes the use of Federated Learning techniques for autonomous vehicles in the transportation domain. The study aims to optimize workflows using text documents. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Transportation,Federated Learning,International Research Foundation
P009,Scalable Market Basket Analysis using Edge Computing,"This project proposes the use of Edge Computing techniques for market basket analysis in the retail domain. The study aims to strengthen security using financial transactions. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Retail,Edge Computing,Industrial Research Council
P014,Scalable Water Quality using Blockchain,"This project proposes the use of Blockchain techniques for water quality in the environmental science domain. The study aims to improve prediction accuracy using financial transactions. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Environmental Science,Blockchain,International Research Foundation
P060,Automated Cancer Detection using Natural Language Processing,"This project proposes the use of Natural Language Processing techniques for cancer detection in the healthcare domain. The study aims to reduce operational costs using social media posts. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Healthcare,Natural Language Processing,Government Research Board
P182,Automated Malware Analysis using Internet of Things,"This project proposes the use of Internet of Things techniques for malware analysis in the cybersecurity domain. The study aims to improve prediction accuracy using historical databases. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Cybersecurity,Internet of Things,AI Research Council
P132,AI-Based Stock Prediction using Predictive Analytics,"This project proposes the use of Predictive Analytics techniques for stock prediction in the finance domain. The study aims to enhance decision making using historical databases. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Finance,Predictive Analytics,Innovation Fund
P018,Robust Customer Analytics using Big Data Analytics,"This project proposes the use of Big Data Analytics techniques for customer analytics in the finance domain. The study aims to strengthen security using historical databases. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Finance,Big Data Analytics,AI Research Council
P167,Novel Urban Planning using Explainable AI,"This project proposes the use of Explainable AI techniques for urban planning in the smart cities domain. The study aims to improve prediction accuracy using medical records. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Smart Cities,Explainable AI,Government Research Board
P073,Robust Forest Monitoring using Explainable AI,"This project proposes the use of Explainable AI techniques for forest monitoring in the environmental science domain. The study aims to strengthen security using clinical reports. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Environmental Science,Explainable AI,National Science Foundation
P186,Scalable Fault Detection using Deep Learning,"This project proposes the use of Deep Learning techniques for fault detection in the manufacturing domain. The study aims to reduce operational costs using satellite images. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Manufacturing,Deep Learning,AI Research Council
P135,Hybrid Sentiment Analysis using Internet of Things,"This project proposes the use of Internet of Things techniques for sentiment analysis in the social media domain. The study aims to increase sustainability using social media posts. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Social Media,Internet of Things,Innovation Fund
P176,Smart Smart Grid using Edge Computing,"This project proposes the use of Edge Computing techniques for smart grid in the energy domain. The study aims to reduce operational costs using satellite images. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Energy,Edge Computing,Government Research Board
P194,Network Security using Transformer Models,"This proposal develops a Transformer Models framework for network security within the cybersecurity domain. The research focuses on improving performance through advanced learning algorithms, optimization strategies, and intelligent decision support systems.",Cybersecurity,Transformer Models,International Research Foundation
P064,AI-Based Flood Forecasting using Edge Computing,"This project proposes the use of Edge Computing techniques for flood forecasting in the climate science domain. The study aims to improve resource utilization using clinical reports. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Climate Science,Edge Computing,International Research Foundation
P055,Hybrid Stock Prediction using Graph Neural Networks,"This project proposes the use of Graph Neural Networks techniques for stock prediction in the finance domain. The study aims to support early detection using industrial logs. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Finance,Graph Neural Networks,International Research Foundation
P108,Smart Renewable Energy Forecasting using Internet of Things,"This project proposes the use of Internet of Things techniques for renewable energy forecasting in the energy domain. The study aims to support early detection using satellite images. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Energy,Internet of Things,Government Research Board
P051,Advanced Route Optimization using Natural Language Processing,"This project proposes the use of Natural Language Processing techniques for route optimization in the transportation domain. The study aims to improve resource utilization using financial transactions. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Transportation,Natural Language Processing,AI Research Council
P175,Smart Threat Intelligence using Natural Language Processing,"This project proposes the use of Natural Language Processing techniques for threat intelligence in the cybersecurity domain. The study aims to automate monitoring using clinical reports. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Cybersecurity,Natural Language Processing,Innovation Fund
P207,Pollution Detection using Predictive Analytics,"This proposal develops a Predictive Analytics framework for pollution detection within the environmental science domain. The research focuses on improving performance through advanced learning algorithms, optimization strategies, and intelligent decision support systems.",Environmental Science,Predictive Analytics,International Research Foundation
P170,Efficient Community Detection using Computer Vision,"This project proposes the use of Computer Vision techniques for community detection in the social media domain. The study aims to increase sustainability using satellite images. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Social Media,Computer Vision,International Research Foundation
P059,AI-Based Fraud Detection using Predictive Analytics,"This project proposes the use of Predictive Analytics techniques for fraud detection in the finance domain. The study aims to increase sustainability using text documents. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Finance,Predictive Analytics,National Science Foundation
P049,AI-Based Sales Analytics using Transformer Models,"This project proposes the use of Transformer Models techniques for sales analytics in the retail domain. The study aims to strengthen security using financial transactions. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Retail,Transformer Models,Government Research Board
P089,Efficient Solar Optimization using Natural Language Processing,"This project proposes the use of Natural Language Processing techniques for solar optimization in the energy domain. The study aims to provide intelligent recommendations using historical databases. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Energy,Natural Language Processing,International Research Foundation
P022,Hybrid Disease Diagnosis using Edge Computing,"This project proposes the use of Edge Computing techniques for disease diagnosis in the healthcare domain. The study aims to support early detection using IoT streams. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Healthcare,Edge Computing,National Science Foundation
P058,Advanced Power Consumption Prediction using Transformer Models,"This project proposes the use of Transformer Models techniques for power consumption prediction in the energy domain. The study aims to support early detection using clinical reports. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Energy,Transformer Models,Innovation Fund
P161,AI-Based Autonomous Vehicles using Big Data Analytics,"This project proposes the use of Big Data Analytics techniques for autonomous vehicles in the transportation domain. The study aims to support early detection using historical databases. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Transportation,Big Data Analytics,AI Research Council
P203,Yield Prediction using Natural Language Processing,"This proposal develops a Natural Language Processing framework for yield prediction within the agriculture domain. The research focuses on improving performance through advanced learning algorithms, optimization strategies, and intelligent decision support systems.",Agriculture,Natural Language Processing,Department of Biotechnology
P130,Novel Risk Assessment using Big Data Analytics,"This project proposes the use of Big Data Analytics techniques for risk assessment in the finance domain. The study aims to enhance decision making using sensor data. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Finance,Big Data Analytics,Government Research Board
P038,Intelligent Wildlife Monitoring using Deep Learning,"This project proposes the use of Deep Learning techniques for wildlife monitoring in the environmental science domain. The study aims to increase sustainability using IoT streams. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Environmental Science,Deep Learning,International Research Foundation
P158,Novel Weather Prediction using Predictive Analytics,"This project proposes the use of Predictive Analytics techniques for weather prediction in the climate science domain. The study aims to enhance decision making using medical records. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Climate Science,Predictive Analytics,Innovation Fund
P199,Smart Irrigation using Federated Learning,"This proposal develops a Federated Learning framework for smart irrigation within the agriculture domain. The research focuses on improving performance through advanced learning algorithms, optimization strategies, and intelligent decision support systems.",Agriculture,Federated Learning,Industrial Research Council
P002,AI-Based Disaster Management using Machine Learning,"This project proposes the use of Machine Learning techniques for disaster management in the environmental science domain. The study aims to strengthen security using historical databases. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Environmental Science,Machine Learning,National Science Foundation
P053,AI-Based Fault Detection using Internet of Things,"This project proposes the use of Internet of Things techniques for fault detection in the manufacturing domain. The study aims to enhance decision making using clinical reports. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Manufacturing,Internet of Things,Department of Biotechnology
P150,AI-Based Industrial Robots using Natural Language Processing,"This project proposes the use of Natural Language Processing techniques for industrial robots in the robotics domain. The study aims to reduce operational costs using IoT streams. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Robotics,Natural Language Processing,Innovation Fund
P131,Novel Stock Prediction using Federated Learning,"This project proposes the use of Federated Learning techniques for stock prediction in the finance domain. The study aims to improve resource utilization using medical records. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Finance,Federated Learning,National Science Foundation
P152,Scalable Soil Monitoring using Natural Language Processing,"This project proposes the use of Natural Language Processing techniques for soil monitoring in the agriculture domain. The study aims to enhance decision making using historical databases. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Agriculture,Natural Language Processing,International Research Foundation
P104,Intelligent Drug Discovery using Big Data Analytics,"This project proposes the use of Big Data Analytics techniques for drug discovery in the healthcare domain. The study aims to improve resource utilization using financial transactions. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Healthcare,Big Data Analytics,Industrial Research Council
P100,Robust Renewable Energy Forecasting using Blockchain,"This project proposes the use of Blockchain techniques for renewable energy forecasting in the energy domain. The study aims to strengthen security using industrial logs. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Energy,Blockchain,Industrial Research Council
P117,Efficient Supply Chain Optimization using Transformer Models,"This project proposes the use of Transformer Models techniques for supply chain optimization in the manufacturing domain. The study aims to strengthen security using historical databases. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Manufacturing,Transformer Models,AI Research Council
P088,Smart Sales Analytics using Machine Learning,"This project proposes the use of Machine Learning techniques for sales analytics in the retail domain. The study aims to optimize workflows using clinical reports. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Retail,Machine Learning,Government Research Board
P075,Advanced Fleet Management using Explainable AI,"This project proposes the use of Explainable AI techniques for fleet management in the transportation domain. The study aims to improve resource utilization using historical databases. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Transportation,Explainable AI,National Science Foundation
P122,Advanced Medical Imaging using Machine Learning,"This project proposes the use of Machine Learning techniques for medical imaging in the healthcare domain. The study aims to increase sustainability using financial transactions. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Healthcare,Machine Learning,AI Research Council
P210,Robot Navigation using Explainable AI,"This proposal develops a Explainable AI framework for robot navigation within the robotics domain. The research focuses on improving performance through advanced learning algorithms, optimization strategies, and intelligent decision support systems.",Robotics,Explainable AI,AI Research Council
P021,Hybrid Warehouse Automation using Internet of Things,"This project proposes the use of Internet of Things techniques for warehouse automation in the robotics domain. The study aims to support early detection using clinical reports. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Robotics,Internet of Things,International Research Foundation
P189,Scalable Inventory Prediction using Federated Learning,"This project proposes the use of Federated Learning techniques for inventory prediction in the retail domain. The study aims to enhance decision making using social media posts. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Retail,Federated Learning,National Science Foundation
P072,AI-Based Renewable Energy Forecasting using Computer Vision,"This project proposes the use of Computer Vision techniques for renewable energy forecasting in the energy domain. The study aims to strengthen security using historical databases. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Energy,Computer Vision,AI Research Council
P107,Novel Yield Prediction using Internet of Things,"This project proposes the use of Internet of Things techniques for yield prediction in the agriculture domain. The study aims to support early detection using IoT streams. The proposed framework includes data preprocessing, model development, evaluation, and deployment to improve research outcomes and practical applications.",Agriculture,Internet of Things,Department of Biotechnology
